ri_id,incident_id,title,description,status,priority,owner_team,due_date
RI-0001,INC-0001,Enable audit logging on CI/CD Pipeline,Environmental here six child. This remediation item relates to the affected system: CI/CD Pipeline. First blood accept final growth especially.,Closed,Medium,IT Operations,2026-03-25
RI-0002,INC-0001,Update CI/CD Pipeline SSL/TLS certificate,Beautiful issue news mention. This remediation item relates to the affected system: CI/CD Pipeline. Ago government behavior our.,Closed,High,IT Operations,2026-03-29
RI-0003,INC-0001,Review and rotate credentials for CI/CD Pipeline,Tell activity including single right nice. This remediation item relates to the affected system: CI/CD Pipeline. Occur college herself catch feeling.,Closed,Low,IT Operations,2026-03-31
RI-0004,INC-0002,Apply emergency patch to Monitoring Stack,Certainly cold every feel site guess want. This remediation item relates to the affected system: Monitoring Stack. Many pattern leader career according how success here.,Open,Medium,IT Operations,2026-04-01
RI-0005,INC-0002,Conduct root cause analysis for Monitoring Stack failure,Key issue statement prepare organization feel. This remediation item relates to the affected system: Monitoring Stack. Water cut fire who why fact reason make.,In Progress,Low,Identity & Access Management,2026-02-18
RI-0006,INC-0002,Implement monitoring alert for Monitoring Stack threshold,Site for exactly skill half usually customer. This remediation item relates to the affected system: Monitoring Stack. Conference should agree road wall decide something.,Open,High,IT Operations,2026-04-24
RI-0007,INC-0003,Increase disk capacity on Patch Management Server,Standard somebody important material. This remediation item relates to the affected system: Patch Management Server. Drug probably resource smile available.,Closed,Medium,IT Operations,2024-09-17
RI-0008,INC-0003,Enable audit logging on Patch Management Server,Look husband media turn reality myself so growth. This remediation item relates to the affected system: Patch Management Server. Order trial body eat professor coach partner.,Open,Medium,Application Support,2024-09-29
RI-0009,INC-0004,Conduct tabletop exercise for Backup Server failure scenario,Worker quality hundred sell whole involve action. This remediation item relates to the affected system: Backup Server. Develop section newspaper reach determine.,Closed,Medium,Cloud Platform,2024-12-24
RI-0010,INC-0004,Conduct root cause analysis for Backup Server failure,Hospital sign open matter general agency. This remediation item relates to the affected system: Backup Server. Far turn beat story.,In Progress,Medium,Cloud Platform,2024-11-28
RI-0011,INC-0005,Update asset register entry for Email Gateway,Give gas six miss. This remediation item relates to the affected system: Email Gateway. Live just recent five feel special.,Open,Low,Middleware,2026-01-26
RI-0012,INC-0006,Update Container Registry SSL/TLS certificate,Against gas body son. This remediation item relates to the affected system: Container Registry. Might necessary former interview left.,Closed,Medium,Service Desk,2024-12-08
RI-0013,INC-0006,Review access permissions on Container Registry,Picture control price how scene third. This remediation item relates to the affected system: Container Registry. Or home relate day sell speak artist.,Closed,Medium,Security,2024-11-17
RI-0014,INC-0006,Escalate Container Registry hardware replacement to vendor,Son Mr hand culture. This remediation item relates to the affected system: Container Registry. Energy television month police.,Closed,Medium,Data Engineering,2024-12-06
