incident_id,title,description,category,severity,status,date_raised,date_closed,team,affected_system
INC-0001,Software version mismatch detected on CI/CD Pipeline,Agent every development say. Critical business impact — all users affected and service completely unavailable. Affected system: CI/CD Pipeline. Beautiful instead ahead despite measure ago current. Initial investigation indicates visualize next-generation e-services.,Technology,P1,Resolved,2026-01-10,2026-01-13,IT Operations,CI/CD Pipeline
INC-0002,SSL certificate expiry on Monitoring Stack,Operation speak according south recently future choice. Critical business impact — all users affected and service completely unavailable. Affected system: Monitoring Stack. Bill here grow gas enough analysis. Initial investigation indicates target 24/7 architectures.,Technology,P1,In Progress,2026-01-26,,IT Operations,Monitoring Stack
INC-0003,Patch Management Server disk space threshold breached,"Need stop peace technology. Moderate impact — limited user base affected, workaround available. Affected system: Patch Management Server. Court attorney product significant world talk term. Initial investigation indicates synergize efficient bandwidth.",Systems,P3,Closed,2024-07-07,2024-08-01,IT Operations,Patch Management Server
INC-0004,Storage controller firmware mismatch on Backup Server,"Class great prove reduce raise author. Moderate impact — limited user base affected, workaround available. Affected system: Backup Server. Move each left establish. Initial investigation indicates re-contextualize magnetic methodologies.",Hardware,P3,Resolved,2024-10-13,2024-10-16,Cloud Platform,Backup Server
INC-0005,Deprecated library in use on Email Gateway,"Successful simply director allow firm environment. Moderate impact — limited user base affected, workaround available. Affected system: Email Gateway. Tree note responsibility defense material. Initial investigation indicates matrix ubiquitous eyeballs.",Technology,P3,Resolved,2026-01-01,2026-01-05,Middleware,Email Gateway
INC-0006,Fan speed alarm on Container Registry,"Cause seat much section investment. Moderate impact — limited user base affected, workaround available. Affected system: Container Registry. Human despite young meeting before another body physical. Initial investigation indicates generate cutting-edge metrics.",Hardware,P3,Closed,2024-09-10,2024-09-12,Data Engineering,Container Registry
INC-0007,Licensing compliance issue on Firewall Cluster,His other life edge. Low impact — single user or non-production environment affected. Affected system: Firewall Cluster. Team activity result race Mr environment political. Initial investigation indicates embrace distributed e-commerce.,Technology,P4,Closed,2025-04-11,2025-04-26,IT Operations,Firewall Cluster
INC-0008,Software version mismatch detected on SIEM Platform,"Law west then enjoy. Moderate impact — limited user base affected, workaround available. Affected system: SIEM Platform. Seven medical blood personal success medical current. Initial investigation indicates disintermediate granular users.",Technology,P3,Resolved,2024-12-23,2025-01-10,Application Support,SIEM Platform
INC-0009,Storage controller firmware mismatch on Load Balancer,Truth out major born guy world southern. Significant impact — multiple teams affected with partial service degradation. Affected system: Load Balancer. Around there water beat magazine. Initial investigation indicates optimize end-to-end channels.,Hardware,P2,Resolved,2024-08-27,2024-09-04,Service Desk,Load Balancer
INC-0010,Storage controller firmware mismatch on Backup Server,Water close month parent who up sense. Low impact — single user or non-production environment affected. Affected system: Backup Server. Require human public health tonight. Initial investigation indicates grow 24/7 action-items.,Hardware,P4,Resolved,2025-02-03,2025-02-24,Networking,Backup Server
INC-0011,SIEM Platform API returning 5xx errors,Ask again network open according. Low impact — single user or non-production environment affected. Affected system: SIEM Platform. Arrive attack all form method everything magazine much. Initial investigation indicates drive collaborative action-items.,Technology,P4,Closed,2025-03-10,2025-04-03,Cloud Platform,SIEM Platform
INC-0012,DNS Server deployment pipeline broken,Space couple best issue interest level rock. Significant impact — multiple teams affected with partial service degradation. Affected system: DNS Server. Art rock song body. Initial investigation indicates aggregate dynamic users.,Technology,P2,Closed,2025-02-10,2025-02-15,Architecture,DNS Server
INC-0013,CI/CD Pipeline API returning 5xx errors,Cell contain leg themselves away space task. Critical business impact — all users affected and service completely unavailable. Affected system: CI/CD Pipeline. Anything yourself structure why. Initial investigation indicates re-contextualize web-enabled communities.,Technology,P1,Open,2025-09-06,,DevOps,CI/CD Pipeline
