control_id,ri_id
CTL-001,RI-0008
CTL-001,RI-0023
CTL-001,RI-0036
CTL-001,RI-0086
CTL-001,RI-0107
CTL-001,RI-0160
CTL-001,RI-0206
CTL-001,RI-0217
CTL-001,RI-0242
CTL-001,RI-0251
CTL-001,RI-0264
CTL-001,RI-0272
CTL-001,RI-0285
CTL-001,RI-0301
CTL-001,RI-0308
CTL-002,RI-0013
CTL-002,RI-0035
CTL-002,RI-0060
CTL-002,RI-0077
CTL-002,RI-0097
CTL-002,RI-0106
CTL-002,RI-0122
CTL-002,RI-0160
CTL-002,RI-0165
CTL-002,RI-0173
CTL-002,RI-0236
CTL-002,RI-0244
CTL-002,RI-0300
CTL-002,RI-0309
CTL-004,RI-0019
CTL-004,RI-0037
CTL-004,RI-0041
CTL-004,RI-0082
CTL-004,RI-0083
CTL-004,RI-0103
CTL-004,RI-0143
CTL-004,RI-0149
CTL-004,RI-0152
CTL-004,RI-0155
CTL-004,RI-0190
CTL-004,RI-0279
CTL-004,RI-0301
CTL-007,RI-0001
CTL-007,RI-0009
CTL-007,RI-0027
CTL-007,RI-0049
CTL-007,RI-0096
CTL-007,RI-0120
CTL-007,RI-0138
CTL-007,RI-0146
CTL-007,RI-0194
CTL-007,RI-0216
CTL-007,RI-0233
CTL-007,RI-0239
CTL-007,RI-0261
CTL-007,RI-0273
CTL-008,RI-0001
CTL-008,RI-0002
CTL-008,RI-0019
CTL-008,RI-0053
CTL-008,RI-0101
CTL-008,RI-0143
CTL-008,RI-0149
CTL-008,RI-0151
CTL-008,RI-0165
CTL-008,RI-0187
CTL-008,RI-0206
CTL-008,RI-0231
CTL-008,RI-0237
CTL-008,RI-0290
CTL-008,RI-0291
CTL-008,RI-0298
CTL-008,RI-0306
CTL-009,RI-0003
CTL-009,RI-0006
CTL-009,RI-0007
CTL-009,RI-0009
CTL-009,RI-0012
CTL-009,RI-0017
CTL-009,RI-0020
CTL-009,RI-0049
CTL-009,RI-0051
CTL-009,RI-0079
CTL-009,RI-0083
CTL-009,RI-0088
CTL-009,RI-0104
CTL-009,RI-0112
CTL-009,RI-0125
CTL-009,RI-0130
CTL-009,RI-0143
CTL-009,RI-0155
CTL-009,RI-0188
CTL-009,RI-0195
CTL-009,RI-0207
CTL-009,RI-0211
CTL-009,RI-0215
CTL-009,RI-0230
CTL-009,RI-0268
CTL-009,RI-0272
CTL-009,RI-0278
CTL-009,RI-0283
CTL-009,RI-0286
CTL-009,RI-0309
CTL-010,RI-0022
CTL-010,RI-0039
CTL-010,RI-0088
CTL-010,RI-0104
CTL-010,RI-0107
CTL-010,RI-0141
CTL-010,RI-0150
CTL-010,RI-0170
CTL-010,RI-0181
CTL-010,RI-0256
CTL-010,RI-0257
CTL-010,RI-0293
CTL-010,RI-0302
CTL-011,RI-0008
CTL-011,RI-0012
CTL-011,RI-0016
CTL-011,RI-0024
CTL-011,RI-0036
CTL-011,RI-0054
CTL-011,RI-0095
CTL-011,RI-0119
CTL-011,RI-0140
CTL-011,RI-0150
CTL-011,RI-0163
CTL-011,RI-0180
CTL-011,RI-0238
CTL-013,RI-0013
CTL-013,RI-0023
CTL-013,RI-0024
CTL-013,RI-0025
CTL-013,RI-0055
CTL-013,RI-0075
CTL-013,RI-0102
CTL-013,RI-0117
CTL-013,RI-0119
CTL-013,RI-0128
CTL-013,RI-0147
CTL-013,RI-0166
CTL-013,RI-0267
CTL-013,RI-0283
CTL-014,RI-0038
CTL-014,RI-0041
CTL-014,RI-0125
CTL-014,RI-0144
CTL-014,RI-0217
CTL-014,RI-0251
CTL-014,RI-0252
CTL-014,RI-0285
CTL-014,RI-0294
CTL-015,RI-0068
CTL-015,RI-0086
CTL-015,RI-0157
CTL-015,RI-0207
CTL-015,RI-0218
CTL-015,RI-0235
CTL-018,RI-0007
CTL-018,RI-0046
CTL-018,RI-0079
CTL-018,RI-0116
CTL-018,RI-0118
CTL-018,RI-0119
CTL-018,RI-0130
CTL-018,RI-0192
CTL-018,RI-0209
CTL-018,RI-0221
CTL-018,RI-0222
CTL-018,RI-0275
CTL-018,RI-0286
CTL-018,RI-0293
CTL-019,RI-0011
CTL-019,RI-0043
CTL-019,RI-0064
CTL-019,RI-0070
CTL-019,RI-0103
CTL-019,RI-0139
CTL-019,RI-0155
CTL-019,RI-0168
CTL-019,RI-0191
CTL-019,RI-0222
CTL-019,RI-0223
CTL-019,RI-0236
CTL-019,RI-0244
CTL-019,RI-0258
CTL-019,RI-0263
CTL-019,RI-0264
CTL-019,RI-0272
CTL-019,RI-0291
CTL-019,RI-0299
CTL-021,RI-0002
CTL-021,RI-0003
CTL-021,RI-0004
CTL-021,RI-0005
CTL-021,RI-0020
CTL-021,RI-0043
CTL-021,RI-0053
CTL-021,RI-0070
CTL-021,RI-0074
CTL-021,RI-0079
CTL-021,RI-0083
CTL-021,RI-0095
CTL-021,RI-0106
CTL-021,RI-0125
CTL-021,RI-0136
CTL-021,RI-0137
CTL-021,RI-0150
CTL-021,RI-0164
CTL-021,RI-0166
CTL-021,RI-0174
CTL-021,RI-0175
CTL-021,RI-0178
CTL-021,RI-0217
CTL-021,RI-0219
CTL-021,RI-0221
CTL-021,RI-0222
CTL-021,RI-0223
CTL-021,RI-0227
CTL-021,RI-0230
CTL-021,RI-0233
CTL-021,RI-0238
CTL-021,RI-0261
CTL-021,RI-0279
CTL-021,RI-0280
CTL-021,RI-0289
CTL-021,RI-0291
CTL-022,RI-0003
CTL-022,RI-0022
CTL-022,RI-0031
CTL-022,RI-0043
CTL-022,RI-0082
CTL-022,RI-0083
CTL-022,RI-0088
CTL-022,RI-0132
CTL-022,RI-0136
CTL-022,RI-0181
CTL-022,RI-0189
CTL-022,RI-0209
CTL-022,RI-0284
CTL-022,RI-0287
CTL-023,RI-0003
CTL-023,RI-0009
CTL-023,RI-0027
CTL-023,RI-0062
CTL-023,RI-0072
CTL-023,RI-0079
CTL-023,RI-0082
CTL-023,RI-0105
CTL-023,RI-0112
CTL-023,RI-0118
CTL-023,RI-0128
CTL-023,RI-0132
CTL-023,RI-0134
